Year	TeamID	Team	AwardTitle	AwardType	AwardSubType	AwardDecision	AwardGroup	AwardIcon
2009	212	Brown	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	213	BrownTwo						
2009	236	CBNU-Korea	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	218	Calgary	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	274	Cambridge	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	247	Chiba	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	226	CityColSanFrancisco						
2009	285	Cornell	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2009	194	DTU_Denmark	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	282	Duke	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	191	EPF-Lausanne	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	251	ESBS-Strasbourg						
2009	216	Edinburgh	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	294	Example						
2009	243	Freiburg_bioware	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	279	Freiburg_software	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	230	Gaston_Day_School						
2009	190	Groningen	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	283	HKU-HKBU	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	211	HKUST	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2009	207	Harvard	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2009	203	Heidelberg	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
